namc_code,namc_term_diacritical,query,label
K-1.5,vātapittajavraṇaḥ,"vātapittajavraṇaḥ vātapittajavraṇaḥ the disorder is characterized by tōda [pricking pain], dāhaḥ [burning sensation], dhūmāyana [smoky/fuming sensation], pītāruṇābha varṇasrāva [yellowish or reddish in appearance with a similar coloured discharge] -",vraṇa due to vāta and pitta
K-1.6,vātakaphajavraṇaḥ,"vātakaphajavraṇaḥ vātakaphajavraṇaḥ the disorder is characterized by kaṇḍūyanaśīlaḥ [persistent itching sensation], nistōda [pricking type of pain], rūkṣa [dry], guru [heaviness], dāruṇa [hard indurated], muhurmuhuḥ śītasrāvī [intermittent discharge of cold exudate], muhurmuhuḥpicchilasrāvī094ḍ; [intermittent discharge of sticky/slimy exudate], alpasrāvī [less quantity of discharge] -",vraṇa due to vāta and kapha
K-1.7,pittakaphajavraṇaḥ,"pittakaphajavraṇaḥ pittakaphajavraṇaḥ the disorder is characterized by guruḥ [heaviness], sadāha [burning sensation], uṣṇaḥ [hot], pītapāṇḍusrāvī [pale , yellow discharge] -",vraṇa due to pitta and kapha
K-1.8,vātaraktajavraṇaḥ,"vātaraktajavraṇaḥ vātaraktajavraṇaḥ the disorder is characterized by rūkṣa [dry], tanu [thin looking], tōdabahulaḥ [give rise to pricking type of pain], supta [generally accompanied with loss of sensation], raktā'aruṇābha-varṇa [have a blood-red appearance], raktā'aruṇābha-srāva [having blood red discharge] -",vraṇa due to vāta and rakta
K-1.9,pittaraktajavraṇaḥ,"pittaraktajavraṇaḥ pittaraktajavraṇaḥ the disorder is characterized by ghr̥tamaṇḍābha [colour of the upperportion is like the ghee], mīnadhāvanatōyagandhi [smell washing of fish], mr̥duḥ [soft], visarpaṇī [spreading in nature], uṣṇa-srāva [warm discharge], kr̥ṣṇa-srāva [black discharge] -",vraṇa due to pitta and rakta
K-1.10,kapharaktajavraṇaḥ,"kapharaktajavraṇaḥ kapharaktajavraṇaḥ the disorder is characterized by rakta-varṇa [red colour], guruḥ [heaviness], snigdhaḥ [smooth/unctuous /oily], picchilaḥ [slimy], kaṇḍūprāyaḥ [itching sensation], sthira [fixed], saraktapāṇḍusrāvī [reddish pale discharge] -",vraṇa due to kapha and rakta
K-1.11,vātapittaraktajavraṇaḥ,"vātapittaraktajavraṇaḥ vātapittaraktajavraṇaḥ the disorder is characterized by sphuraṇa [pulsating sensation], tōda [pricking pain], dāhaḥ [burning sensation], dhūmāyanaprāyaḥ [fuming sensation], pītasrāvī [yellowish discharge], tanusrāvī [thin watery discharge], raktasrāvī [blood coloured discharge] -","vraṇa due to vāta,pitta,and rakta"
K-1.12,vātakapharaktaja-vraṇaḥ,"vātakapharaktaja-vraṇaḥ vātakapharaktaja-vraṇaḥ the disorder is characterized by kaṇḍūḥ [itching], sphuraṇa [pulsating sensation], cumacumāyamānaprāyaḥ [skin irritation as if application of mustard paste], pāṇḍusrāvī [pale discharge], ghanasrāvī [thick/dense discharge], raktāsrāvī [blood coloured discharge] -","vraṇa due to vāta, kapha,and rakta"
K-1.13,pittakapharaktaja-vraṇaḥ,"pittakapharaktaja-vraṇaḥ pittakapharaktaja-vraṇaḥ the disorder is characterized by dāhaḥ [burning sensation], pāka [inflammation/suppuration], rāga [redness/congestion], kaṇḍūprāyaḥ [itching sensation], pāṇḍusrāvī [pale discharge], ghanasrāvī [thick/dense discharge], raktāsrāvī [blood coloured discharge] -","vraṇa due to pitta, kapha, and rakta"
K-1.14,vātapittakaphaja-vraṇaḥ,vātapittakaphaja-vraṇaḥ vātapittakaphaja-vraṇaḥ the disorder is characterized by trividhavarṇavēdanā srāvaviśēṣōpētaḥ [features of all tri dōṣa associated with discharge] -,"vraṇa due to vāta, pitta and kapha"
K-1.15,vātapittakapharaktaja-vraṇaḥ,"vātapittakapharaktaja-vraṇaḥ vātapittakapharaktaja-vraṇaḥ the disorder is characterized by nirdahana [burning (as making ash)], nirmathana [churning], sphuraṇa [pulsating sensation], tōda bahulaḥ [severe pricking type of pain], dāha bahulaḥ [excessive burning sensation], pāka bahulaḥ [excess inflammation/suppuration], rāga bahulaḥ [excessive redness], kaṇḍū bahulaḥ [itching], svāpa bahulaḥ [numbness], nānāvarṇavēdanā [associated with varied discolouration], nānāsrāvaviśēṣa [associated with varied discharges] -","vraṇa due to vāta,pitta,kapha, and rakta"
K-2,āgantujavraṇaḥ,āgantujavraṇaḥ āgantujavraṇaḥ - -,exogenous-vraṇa
K-2.1,sadyōvraṇaḥ,sadyōvraṇaḥ sadyōvraṇaḥ - -,fresh wound
K-2.1.1,kṣataḥ nipātita-sadyōvraṇaḥ,"kṣataḥ nipātita-sadyōvraṇaḥ kṣataḥ nipātita-sadyōvraṇaḥ the disorder is characterized by nāticchinnaṁ nātibhinnam [neither exhibits features of excessively excised wounds nor exhibits features of excessively incised wounds], ubhayōrlakṣaṇānvitam [has features of both excised and incised wounds], viṣamaṁ vraṇamaṅgē [an irregular wound of body] -",lacerated wounds
K-2.1.2,picchitaḥ/pracalitaḥ/vidalitaḥ,"picchitaḥ/pracalitaḥ/vidalitaḥ picchitaḥ/pracalitaḥ/vidalitaḥ the disorder is characterized by pr̥thu aṅgatā (prahār pīḍnābhyām) [a part of the body gets flattened (by prahaar or peedan )], asthiḥ majja-raktapariplutam (vraṇaḥ) [bone covered with bone marrow and blood] -",crushed wound
K-2.1.3,ghr̥ṣṭaḥ,"ghr̥ṣṭaḥ ghr̥ṣṭaḥ the disorder is characterized by vigatatvacam (aṅgaḥ) [part gets denuded of skin], uṣā-srāvānvitam [exudes hot discharge] -",abrased wound
K-2.1.4,avakr̥ttaḥ/aviklr̥ptaḥ,avakr̥ttaḥ/aviklr̥ptaḥ avakr̥ttaḥ/aviklr̥ptaḥ the disorder is characterized by lasīkayā raktalēśēna vā yuktaṁ saplōṣaṁ sravēt [exudes lasika alone or mixed with little of blood associated with burning sensation] -,abnormal wound
K-2.1.5,vilambī,vilambī vilambī the disorder is characterized by saśēṣēऽsthni [only the bone remains in the place] -,wound with loosely hanging flesh
K-3,śuddhavraṇaḥ,"śuddhavraṇaḥ śuddhavraṇaḥ the disorder is characterized by jihvātalābhaḥ (varṇaḥ) [like the surface of tongue], atimr̥duḥ [excessively soft], ślakṣṇaḥ [glossy], snigdhaḥ [smooth/unctuous /oily], alpavēdanaḥ/avēdanaḥ [mild pain or no pain], suvyavasthaḥ [healing in the normal pattern], nirāsrāvaḥ [without any discharge], tribhirdōṣairanākrāntaḥ [no signs and symptoms of any of the three dōṣa], śyāvōṣṭhaḥ [bluish coloured edges], piḍakī samaḥ [nodular appearance of wound base], kiñcit unnatāmadhyaḥ [slightly elevated middle portion], nāti rakta [slightly red coloured], nātipāṇḍu [slightly pale coloured], nātiśyāva [slightly brownish black coloured], n ca utsanna [not overly elevated], n ca utsaṅgī [not depressed base] -",healthy/healing wound
K-4,ruhyamāṇavraṇaḥ,"ruhyamāṇavraṇaḥ ruhyamāṇavraṇaḥ the disorder is characterized by kapōtavarṇapratimā [ulcer with pigeon coloured margin], antāḥ klēdavarjitāḥ [without internal discharge], sthirā piḍikāvantāḥ [fixed to the underlying tissue], cipiṭikāvantam [flaky surface] -",healing wound
K-5,samyagrūḍhavraṇaḥ,"samyagrūḍhavraṇaḥ samyagrūḍhavraṇaḥ the disorder is characterized by ruḍhavartmānam [ulcer with healed edges], agranthiḥ [absence of any indurated swelling], aśūna-vraṇaḥ [non oedematous ulcer], arujavraṇaḥ [painless ulcer], tvaksavarṇavraṇaḥ [ulcer is of same colour as skin], samatala-vraṇaḥ [at the same level as the skin] -",properly healed wound
K-6,asādhya-vraṇaḥ,"asādhya-vraṇaḥ asādhya-vraṇaḥ the disorder is characterized by yēṣu cāpyavabhāsēran [wound appears like a], śakti (rūpā) [wound that appear like the shape of spear], dhvaja (rūpā) [wound that appear like the shape of flag], rathāḥ (rūpā) [wound that appear like the shape of chariot], kunta (rūpā) [wound that appear like the shape of lance], vāji (rūpā) [wound that appear like the shape of horse], vāraṇa (rūpā) [wound that appear like the shape of elephant], gō (rūpā) [wound that appear like the shape of cow], vr̥ṣāḥ (rūpā) [wound that appear like the shape of ox], cūrṇāvakīrṇā iva yē bhānticānavacūrṇitāḥ/acūrṇaścūrṇakīrṇābhō akasmāt dr̥ṣyatē [wound that appear as if sprinkled with powder eventhough powder has not been sprinkled], kṣvēḍanti ca yē vraṇaḥ [wound that produces murmuring sound], ghurghurāyantē c yē vraṇaḥ [wound that produces gurgling noise from within], jvalanti iva ca vraṇaḥ [the wound that produces flaming sensation], pavanaṁ saśabdaṁ visr̥janti vraṇaḥ (tvakamāṁsasthaḥ) [wound that releases air with sound when located in skin and muscle], vasā srāvī vraṇaḥ (dōṣaja vraṇaḥ) [wound that discharges muscle fat], majjā srāvī vraṇaḥ (dōṣaja vraṇaḥ) [wound that discharges marrow], mēda srāvī vraṇaḥ (dōṣaja vraṇaḥ) [wound that discharges adipose tissue], mastuluṅg srāvī vraṇaḥ (dōṣaja vraṇaḥ) [wound that discharges brain matter], māṁsa piṇḍavat udgataḥ [wound elevated like fleshy protuberance], prasēkinaḥ [wound that continuos oozing], antaḥ pūyaḥ [ulcer with pus inside], vēdanāvantaḥ/atyartha vēdanā [associated with severe pain], aśvāpānavat vr̥ttauṣṭhaḥ [edges round and elevated like horse anus], kaṭhinaḥ [hard in nature], gōśṟūṅgavata udgatamr̥du māṁsa prarōhaḥ [the wound with base covered with soft projections resembling cowhorn], duṣṭa rudhira srāviṇaḥ [wound that discharge impure blood], tanu śīta srāviṇaḥ [wound discharging thin cold exudate], picchla srāviṇaḥ [wound that exude slimy discharge], madhyē unnatā [elevated in the middle], avasanna [wound with sunken base], suṣira paryantaḥ [edges covered with holes], śaṇatūlavat snāyujālavantaḥ [wound covered with netwqork of fibres like corchorus], durdarśanaḥ [ugly in appearance], pīta srāviṇaḥ kōṣṭha vraṇaḥ [wound of viscera that discharge yellow fluid], asit srāviṇaḥ kōṣṭha vraṇaḥ [wound in viscera that discharge blackish fluid], mūtra vāhinaśc kōṣṭha vraṇaḥ [wound in viscera that discharge urine], purīṣa vāhinaśc kōṣṭha vraṇaḥ [wound in viscera that discharge faecal matter], vāta vāhinaśc kōṣṭha vraṇaḥ [wound in the viscera that release air], ubhayatō bhāgaḥ vraṇa mukhēṣu pūya rakta nirvāhiṇaḥ(kṣīṇa māṁsānām) [], aṇu mukhaḥ māṁsa budbudvantaḥ [wound with minute opening but covered with muscular eruptions], saśabda vātavāhinaśc (śira kaṇṭhasthaḥ vraṇaḥ) [wound in head or throat that discharge air with sound], pūya rakta nirvāhiṇaḥ(kṣīṇa māṁsānām) [in emaciated persons, wounds discharging blood nad pus], arōcakōpadrava yuktaḥ (kṣīṇa māṁsānām) [in emaciated persons, manifestation of tastelessness], avipākōpadrava yuktaḥ (kṣīṇa māṁsānām) [in emaciated persons, manifestation of indigestion], kāsōpadrava yuktaḥ (kṣīṇa māṁsānām) [in emaciated persons, manifestation of cough], śvāsōpadrava yuktaḥ (kṣīṇa māṁsānām) [in emaciated persons, manifestation of breathing difficulty], bhinnē vā śiraḥ kapālē yatra mastuluṅg darśanam [exposed brain matter in fractures of skull], tridōṣaliṅga prādurbhāvaḥ [manifestation of signs and symptoms of all three dōṣa], kāsaḥ [cough], śvāsaḥ [breathlessness/difficult breathing], marmasaṁbhūtā vraṇa [wounds that occur in vital areas], atyarthaṁ dahyantē ca antaḥ bahiḥ śītaśca [ulcer which has burning sensation inside and cold outside], atyarthaṁ dahyantē bahiḥ antaśca śītalā [ulcer which feels cold inside and hot outside], prāṇa māṁsa kṣayaḥ [associated with loss of strength and vitality], pravr̥ddha pūya rudhira vraṇaḥ [wound that rdischarge copious amount of blood and pus], arujō marmaja vraṇaḥ [wound located in vital areas but without pain] -",irremediable wound
K-7,vraṇapūrvarūpam,vraṇapūrvarūpam vraṇapūrvarūpam the disorder is characterized by śōpha [oedema] -,prodromes of wounds
K-8,(a) vraṇa-upadravaḥ,(a) vraṇa-upadravaḥ (a) vraṇa-upadravaḥ - -,Complications of wound disorder (TM2) ⇒
K-9,,- -,fatal signs of wound
K-10,,- -,putrified wound
K-11,,- -,vraṇa afflicting asthi
K-12,(a)sirāgatavraṇaḥ,(a)sirāgatavraṇaḥ (a)sirāgatavraṇaḥ It is characterised by ulcer due to dilated and tortuous vein. This may be explained by: (a) Vitiation of all the three dosha affecting the veins and surrounding area. -,Varicose ulcer disorder (TM2)
K-13,,- -,wound with foreign body
K-14,(a) nāḍīvraṇaḥ,(a) nāḍīvraṇaḥ (a) nāḍīvraṇaḥ - -,Fistula disorder (TM2) ⇒
K-14.1,vātajanāḍīvraṇaḥ,"vātajanāḍīvraṇaḥ vātajanāḍīvraṇaḥ the disorder is characterized by paruṣasūkṣmamukhaḥ(vraṇaḥ) [indurated rough small opening], śūlaḥ [pain], phēnānuviddha srāvaḥ [frothy discharge], adhika-srāvaḥ(kṣapāsu) [more discharge at night], vivarṇa srāvaḥ [discolouration of discharge] -",nāḍīvraṇa due to vāta
K-14.2,pittajanāḍīvraṇaḥ,"pittajanāḍīvraṇaḥ pittajanāḍīvraṇaḥ the disorder is characterized by tr̥ṭ [thrist], tāpa/paridāh yuktaḥ/ dāhakr̥t [burning sensation], tōda [pricking pain], sadana [exhaustion], jvaraḥ [fever], bhēdahētu [tearing sensation], adhikamuṣṇa srāvaḥ (ahaḥsu ) [excessive warm discharge], adhika pīta-srāvaḥ (ahaḥsu ) [excessive yellow discharge], pūti pūya srāvaḥ [putrid pus discharge] -",nāḍīvraṇa due to pitta
K-14.3,kaphajanāḍīvraṇaḥ,"kaphajanāḍīvraṇaḥ kaphajanāḍīvraṇaḥ the disorder is characterized by bahusrāvaḥ [excessive/copious discharge], ghana-srāvaḥ [thick/dense discharge], arjuna-srāvaḥ [whitish coloured discharge], picchila srāvaḥ [slimy discharge], rātrisrutiḥ [discharge occuring at nights], stimitaruk [associated with mild pain], kaṭhinaḥ [hard in nature], sakaṇḍūḥ [associated with itching], stabdhaḥ [stiffness], niśi c abhyadhika klēdaḥ [excessive soddening during the night] -",nāḍīvraṇa due to kapha
K-14.4,dvandvajanāḍīvraṇaḥ,dvandvajanāḍīvraṇaḥ dvandvajanāḍīvraṇaḥ - -,nāḍīvraṇa due to two dōṣa
K-14.5,sānnipātajanāḍīvraṇaḥ,"sānnipātajanāḍīvraṇaḥ sānnipātajanāḍīvraṇaḥ the disorder is characterized by dāhaḥ [burning sensation], jvaraḥ [fever], śvasanaḥ [breathlessness/difficult breathing], mūrcchanam [syncope/attacks of swooning], vaktraśōṣaḥ [dryness of mouth], kālarātri iva āśukṣayakarī (nāḍī) [fatal], ghōraḥ [like the night of death] -",nāḍīvraṇa due to three dōṣa
K-14.6,śalyanimittajavraṇaḥ,"śalyanimittajavraṇaḥ śalyanimittajavraṇaḥ the disorder is characterized by phēnilamathitamacchasrāvaḥ [frothy clear discharge as if churned], asr̥gvimiśra-srāvaḥ(sahasā ) [sanguinous discharge], uṣṇa-srāvaḥ [warm discharge], nitya-rujā/sahasā rujā [constant pain], sāsraṁ ca pūyam [blood mixed pus discharge], tanu srāvaḥ [thin discharge], alpa srāvaḥ [less quantity of discharge] -",nāḍīvraṇa due to foreign body
K-15,vraṇāyāmaḥ,vraṇāyāmaḥ vraṇāyāmaḥ the disorder is characterized by vyāvacchanti tanuṁ dōṣāḥ sarvamāpādamastakam [doshas spread rapidly throughout the body] -,post-traumatic convulsion
K-15.1,asādhya-vraṇāyāmaḥ/upadravaḥ,"asādhya-vraṇāyāmaḥ/upadravaḥ asādhya-vraṇāyāmaḥ/upadravaḥ the disorder is characterized by pāṇḍugātra [paleness of body], tr̥ṣṇā [thirst], [], [] -",irremediable vraṇāyāma
L,abhighātaḥ,abhighātaḥ abhighātaḥ - -,traumatic disorders
LA,bhagnaḥ,bhagnaḥ bhagnaḥ the disorder is characterized by unnata [elevating] -,fracture
LA-1,sandhimuktam,"sandhimuktam sandhimuktam the disorder is characterized by prasāraṇāśakti [inability of extention], ākuñcanāśakti [inability of flexion], vivartanāśakti [inability of circumduction], ākṣēpaṇāśakti [inability of any movement], ugrarujatvaṁ [severe pain], sparśāsahatvaṁ [tenderness/inability to tolerate touch] -",dislocation
LA-1.1,utpiṣṭa-sandhimuktam,"utpiṣṭa-sandhimuktam utpiṣṭa-sandhimuktam the disorder is characterized by sandhi-śōpha (samantāt) [swelling all around the joints], rātribhavā rujā [pain increases in the night], sandhāvubhayatō śōphaḥ [swelling on both sides], nānāprakāra vēdanā rātrau pradurbhavanti [onset of vartious type of pain at night] -",fracture dislocation
LA-1.2,viśliṣṭa-sandhimuktam,"viśliṣṭa-sandhimuktam viśliṣṭa-sandhimuktam the disorder is characterized by alpa śōpha [mild swelling], vēdanāsātatyaṁ [persistent pain], sandhivikriyā [derangement of the joints] -",subluxation/incomplete dislocation
LA-1.3,vivartita-sandhimuktam,"vivartita-sandhimuktam vivartita-sandhimuktam the disorder is characterized by sandhipārśvāpagamana [lateral displacement of the joint], viṣamāṅgatā [deformity], vēdanā [pain] -",dislocation with lateral displacement
LA-1.4,avakṣipta-sandhimuktam/adhaḥkṣipta-sandhimuktam,"avakṣipta-sandhimuktam/adhaḥkṣipta-sandhimuktam avakṣipta-sandhimuktam/adhaḥkṣipta-sandhimuktam the disorder is characterized by sandhi-viślēṣa [loosening /dislocation of joints], tīvra-rujatvaṁ [severe joint pain] -",dislocation with downward displacement
LA-1.5,atikṣipta-sandhimuktam,"atikṣipta-sandhimuktam atikṣipta-sandhimuktam the disorder is characterized by sandhyasthnōratikrāntatā [overriding of both bones], vēdanā [joint pain] -",dislocation with over riding
LA-1.6,tiryakakṣipta-sandhimuktam,"tiryakakṣipta-sandhimuktam tiryakakṣipta-sandhimuktam the disorder is characterized by ēkāsthipārśvāpagamana [one of the bones gets obliquely displaced], atyarthaṁ vēdanā [severe pain] -",dislocation with oblique displacement
LA-2,kāṇḍabhagna-adhikaraṇam,"kāṇḍabhagna-adhikaraṇam kāṇḍabhagna-adhikaraṇam the disorder is characterized by śvayathubāhulyaṁ [severe swelling], spandanam [pusating sensation], vivartana [inability to rotation], sparśāsahiṣṇutvam [tenderness/inability to tolerate touch], avapīḍyamānē śabdaḥ [crepitus on pressure], srastāṅgatā [flaccidity/ laxity], vividhavēdanāprādurbhāvaḥ [appearance of various types of pain], sarvāsvavasthāsu na śarmalābhō [no relief in any position] -",types of fractures
LA-2.1,karkaṭaka-bhagnaḥ,karkaṭaka-bhagnaḥ karkaṭaka-bhagnaḥ - -,sub periosteal fracture
LA-2.2,aśvakarṇaḥ,aśvakarṇaḥ aśvakarṇaḥ the disorder is characterized by aśvakarṇavadudgatam [fracture is raised like the ears of horse] -,oblique fracture
LA-2.3,cūrṇitaḥ,cūrṇitaḥ cūrṇitaḥ the disorder is characterized by spr̥śyamānaṁ śabdamavagacchēt [there is sound on palpation] -,comminuted fracture
LA-2.4,piccitaḥ,"piccitaḥ piccitaḥ the disorder is characterized by pr̥thutāṁ [flattening], analpaśōphaṁ [marked swelling] -",complicated fracture
LA-2.5,asthichillitaḥ,asthichillitaḥ asthichillitaḥ the disorder is characterized by pārśvayōrasthi hīnōdgatam [slight elevation of bones on the sides] -,longitudinal fracture
LA-2.6,kāṇḍabhagnaḥ,kāṇḍabhagnaḥ kāṇḍabhagnaḥ the disorder is characterized by prakaṁpamānaṁ vēllatē [the fracture moves on shaking] -,transverse fracture
LA-2.7,majjānugata-bhagnaḥ,majjānugata-bhagnaḥ majjānugata-bhagnaḥ the disorder is characterized by asthyavayavō asthimadhyamanupraviśya majjānamunnahyatīti [bony spicules get impacted into the middle of the bone and let out the bone marrow.] -,impacted fracture
LA-2.8,atipātita-bhagnaḥ,atipātita-bhagnaḥ atipātita-bhagnaḥ the disorder is characterized by chinnaṁ niḥśēṣataḥ [complete fracture of bone] -,multiple fracture
LA-2.9,vakra-bhagnaḥ,"vakra-bhagnaḥ vakra-bhagnaḥ the disorder is characterized by ābhugnam [slight bending], vimukta [incomplete fracture] -",green stick fracture
LA-2.10,chinnabhagnaḥ,chinnabhagnaḥ chinnabhagnaḥ the disorder is characterized by anyatarapārśvāvaśiṣṭaṁ [otherside remains unbroken] -,incomplete fracture
LA-2.11,pāṭitabhagnaḥ,"pāṭitabhagnaḥ pāṭitabhagnaḥ the disorder is characterized by aṇubahuvidāritaṁ [multiple fracture with tiny bone pieces], vēdanāvat [associated with pain] -",cracked fracture
LA-2.12,sphuṭita-bhagnaḥ,"sphuṭita-bhagnaḥ sphuṭita-bhagnaḥ the disorder is characterized by śūkapūrṇa iva ādhmānam [distention with feeling as filled with bristles], vipulaṁ, visphuṭita [multiple cracks on bone] -",fissured fracture
LA-3,vividha-avayava-bhagnaḥ,vividha-avayava-bhagnaḥ vividha-avayava-bhagnaḥ - -,fractures of different body parts
LA-3.1,akṣakāsthi-bhagnaḥ,akṣakāsthi-bhagnaḥ akṣakāsthi-bhagnaḥ - -,fracture clavicle
LA-3.2,kapāla-bhagnaḥ,kapāla-bhagnaḥ kapāla-bhagnaḥ - -,fracture of skull
LA-3.3,karṇa-bhagnaḥ,karṇa-bhagnaḥ karṇa-bhagnaḥ - -,injury to the ear
LA-3.4,nāsā-bhagnaḥ,nāsā-bhagnaḥ nāsā-bhagnaḥ - -,fracture nasal bone
LA-3.5,hanu-bhagnaḥ,hanu-bhagnaḥ hanu-bhagnaḥ - -,fracture mandible
LA-3.6,danta-bhagnaḥ,danta-bhagnaḥ danta-bhagnaḥ - -,broken teeth
LA-3.7,grīvā-bhagnaḥ,grīvā-bhagnaḥ grīvā-bhagnaḥ - -,fracture cervical vertebrae
LA-3.8,skandha-bhagnaḥ,skandha-bhagnaḥ skandha-bhagnaḥ - -,"fracture clavicle, head of the humerus and scapula with shoulder dislocation"
LA-3.9,bāhu-bhagnaḥ,bāhu-bhagnaḥ bāhu-bhagnaḥ - -,fracture shaft of humerus
LA-3.10,kūrpara-bhagnaḥ,kūrpara-bhagnaḥ kūrpara-bhagnaḥ - -,fracture of shafts of radius and ulna
LA-3.11,aṅguli-bhagnaḥ,aṅguli-bhagnaḥ aṅguli-bhagnaḥ - -,fracture phallanges
LA-3.12,nakha-sandhi-bhagnaḥ,nakha-sandhi-bhagnaḥ nakha-sandhi-bhagnaḥ - -,injury to nails
LA-3.13,parśukāsthi-bhagnaḥ,parśukāsthi-bhagnaḥ parśukāsthi-bhagnaḥ - -,fracture rib
LA-3.14,ūrvasthi-bhagnaḥ,ūrvasthi-bhagnaḥ ūrvasthi-bhagnaḥ - -,fracture femur/dislocation of hip joint
LA-3.15,ūru-bhagnaḥ,ūru-bhagnaḥ ūru-bhagnaḥ - -,fracture femur
LA-3.16,jaṅgkā-bhagnaḥ,jaṅgkā-bhagnaḥ jaṅgkā-bhagnaḥ - -,fracture tibia
LA-3.17,pādatala-bhagnaḥ,pādatala-bhagnaḥ pādatala-bhagnaḥ - -,fracture metatarsal
LA-4,dussādhya-bhagnaḥ,"dussādhya-bhagnaḥ dussādhya-bhagnaḥ the disorder is characterized by prajyāṇudāri [bones has been crushed into very small pieces], asthi sparśē śabdaṁ karōti [causes sound on touching], asthilēśaḥ praviśēnmadhyamasthnō vidāritaḥ [pieces of bones have entered into the marrow cavity], bhagnaṁ yaccābhighātēna kiñcidēvāvaśēṣitam [the condition where by trauma very little portion of bone is left inside the body], unnamyamānaṁ kṣatavadyacca majjani majjati [condition in which raising the fractured portion makes it sinks into the marrow] -",intractable fracture
LA-5,asādhya-bhagnaḥ,"asādhya-bhagnaḥ asādhya-bhagnaḥ the disorder is characterized by bhinnaṁ kapālaṁ [fracture of the pelvic bone in its flat portion], kaṭyāṁ sandhimuktaṁ cyutaṁ ca yat [dislocation and displacement of hip joint], jaghanaṁ prati piṣṭaṁ [impacted fracture of pelvic region], asaṁśliṣṭakapālaṁ [non jointed fracture of flat bones], lalāṭaṁ cūrṇitam [communited fracture of skull bones], śaṁkha bhagnaḥ [fracture in temporal region], śiraḥ bhagnaḥ [skull fracture], pr̥ṣṭha bhagnaḥ [fracture of backbone], stanāntara bhagnaḥ [fracture of sternum/mid thoracic region], durnyāsāt vikriyāṁ gacchati [malalignment of bones due to improper setting], durnibandhanāt vikriyāṁ gacchati [malalignment of bones due to improper bandage], saṁkṣōbhāta vikriyāṁ gacchati [malalignment of bones due to jolting] -",irremediable fracture
LB,dagdhaḥ,dagdhaḥ dagdhaḥ - -,burn injury
LB-1,agnidagdhaḥ,agnidagdhaḥ agnidagdhaḥ - -,burns
LB-1.1,pluṣṭadagdhaḥ/tucchadagdhaḥ,"pluṣṭadagdhaḥ/tucchadagdhaḥ pluṣṭadagdhaḥ/tucchadagdhaḥ the disorder is characterized by vivarṇaṁ [discolouration], pluṣyatē atimātraṁ [excessive singeing] -",Singeing (first degree)
LB-1.2,durdagdham,"durdagdham durdagdham the disorder is characterized by sphōṭaḥ [blister], tīvra cōṣa [severe sucking pain], tīvra dāha [severe burning sensation], tīvra rāga [severe redness], tīvra pāka [severe inflammation], vēdanā [pain], cirāccōpaśāmyanti [takes long time to subside] -",blister formation(second degree)/suboptimal cautery
LB-1.3,samyagdagdhaḥ,"samyagdagdhaḥ samyagdagdhaḥ the disorder is characterized by anavagāḍhaṁ [burn is not very deep], tālavarṇaṁ [resembles colour of palm fruit], susaṁsthitaṁ [morphology of tissue maintained] -",superficial (third degree) burn
LB-1.4,atidagdhaḥ,"atidagdhaḥ atidagdhaḥ the disorder is characterized by māṁsāvalambanaṁ [hanging of muscles from the burnt area], gātraviślēṣaḥ [loosening of body parts], sirāvyāpādanamatimātraṁ [severe destruction of the blood vessels], snāyu vyāpādanamatimātraṁ [severe destruction of nerves], sandhya vyāpādanamatimātraṁ [severe destruction of joints ,], asthi vyāpādanamatimātraṁ [severe destruction of bones], jvaraḥ [fever], dāhaḥ [burning sensation], pipāsāḥ [thirst], mūrcchāḥ [syncope/attacks of swooning], vraṇaścāsya cirēṇa rōhatiḥ [wound takes a long time to heal], rūḍhaśca vivarṇō bhavatiḥ [after healing the burnt area becomes permanently discoloured] -",deep burn (fourth degree)
LB-2,snēhadagdhaḥ,snēhadagdhaḥ snēhadagdhaḥ the disorder is characterized by adhika rujā [severe pain] -,"burns due to liquids such as fats, oils and water at high temperature."
LB-3,uṣṇavātātapa-dagdhaḥ,uṣṇavātātapa-dagdhaḥ uṣṇavātātapa-dagdhaḥ - -,burns due to hot winds/heat stroke
LB-4,tvak-dagdhaḥ,"tvak-dagdhaḥ tvak-dagdhaḥ the disorder is characterized by durgandhaḥ [bad smell from the burnt site], tvaka saṅkōcaḥ [contraction of skin], śabda prādurbhāvaḥ [occurance of sound while burning] -",cautery at skin level
LB-5,māṁsadagdhaḥ,"māṁsadagdhaḥ māṁsadagdhaḥ the disorder is characterized by kapōta varṇaḥ [pale ash colour like the Pigeon], alpa śvayathu [mild swelling], alpa vēdanā [mild pain], śuṣka saṁkucit vraṇaḥ [dried contracted wound], raukṣya [dryness], śōpha [oedema] -",muscle cauterization
LB-6,sirādagdhaḥ,"sirādagdhaḥ sirādagdhaḥ the disorder is characterized by kr̥ṣṇa vraṇaḥ [black discoloration], unnatavraṇaḥ [elevated appearance], srāvasannirōdhaḥ [cessation of discharges] -",vessel and ligament cauterization
LB-7,snāyudagdhaḥ,"snāyudagdhaḥ snāyudagdhaḥ the disorder is characterized by kr̥ṣṇa vraṇaḥ [black discoloration], unnatavraṇaḥ [elevated appearance], srāvasannirōdhaḥ [cessation of discharges] -",ligament cauterization
