namc_code,namc_term_diacritical,short_definition,long_definition,icd_code,query,pred_top1,pred_top3
LH-4.6,māṁsavahasrōtōviddhaḥ,-,"the disorder is characterized by māṁsa śōṣa [muscular wasting], śvayathuḥ [swelling], sirāgranthi [tortousity of blood vessels], maraṇaṁ [death]",,"māṁsavahasrōtōviddhaḥ māṁsavahasrōtōviddhaḥ the disorder is characterized by māṁsa śōṣa [muscular wasting], śvayathuḥ [swelling], sirāgranthi [tortousity of blood vessels], maraṇaṁ [death]",SR46,"['SR46', 'SR45', 'SP92']"
LH-4.7,mēdōvahasrōtōviddha,-,"the disorder is characterized by svēdāgamanam [perspiration], snidhāṅgatā [oiliness of the body], tāluśōṣa [dryness of palate], sthūlaśōphatā [non pitting oedema], pipāsā [thirst]",,"mēdōvahasrōtōviddha mēdōvahasrōtōviddha the disorder is characterized by svēdāgamanam [perspiration], snidhāṅgatā [oiliness of the body], tāluśōṣa [dryness of palate], sthūlaśōphatā [non pitting oedema], pipāsā [thirst]",SK6R,"['SK6R', 'SQ22', 'ST11']"
LH-4.8,asthivahasrōtōviddhaḥ,-,-,,asthivahasrōtōviddhaḥ asthivahasrōtōviddhaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
LH-4.9,śukravahasrōtōviddhaḥ,-,"the disorder is characterized by klībatā [inability to perform sexual act/ impotence], cirāt prasēka [delayed ejaculation], rakta śukratā [blood tinged semen]",,"śukravahasrōtōviddhaḥ śukravahasrōtōviddhaḥ the disorder is characterized by klībatā [inability to perform sexual act impotence], cirāt prasēka [delayed ejaculation], rakta śukratā [blood tinged semen]",SR8B,"['SR8B', 'SS23', 'SR4E']"
LH-4.10,ārttavavahasrōtōviddha,-,"the disorder is characterized by vandhyatvam [sterility], maithunāsahiṣṇutvam [dyspaerunia], ārtav nāśa [absence of menstruation]",,"ārttavavahasrōtōviddha ārttavavahasrōtōviddha the disorder is characterized by vandhyatvam [sterility], maithunāsahiṣṇutvam [dyspaerunia], ārtav nāśa [absence of menstruation]",SM86,"['SM86', 'SL81', 'SN41']"
LH-4.11,mūtravahasrōtōviddhaḥ,-,"the disorder is characterized by mūtra nirōdhaḥ [retention of urine], ānaddh basti [Distended basti (bladder)], stabdh mēḍhratā [stiffness of penis]",,"mūtravahasrōtōviddhaḥ mūtravahasrōtōviddhaḥ the disorder is characterized by mūtra nirōdhaḥ [retention of urine], ānaddh basti [distended basti (bladder)], stabdh mēḍhratā [stiffness of penis]",SM81,"['SM81', 'SM82', 'SM86']"
LH-4.12,purīṣavahasrōtōviddhaḥ,-,"the disorder is characterized by ānāhaḥ [barborygmus with distention], durgandhatā [badsmell], grathita āntratā [nodular]",,"purīṣavahasrōtōviddhaḥ purīṣavahasrōtōviddhaḥ the disorder is characterized by ānāhaḥ [barborygmus with distention], durgandhatā [badsmell], grathita āntratā [nodular]",SP54,"['SP54', 'SN30', 'SM53']"
L-1,sarvāṅgābhihataḥ,-,-,,sarvāṅgābhihataḥ sarvāṅgābhihataḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
L-2,raktātipravr̥ttiḥ,-,-,,raktātipravr̥ttiḥ raktātipravr̥ttiḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
L-3,mūtraprasēka-kṣaṇanam,-,-,,mūtraprasēka kṣaṇanam mūtraprasēka kṣaṇanam,ST20,"['ST20', 'SM9A', 'SM8B']"
L-4,śirōbhighātaḥ,-,"the disorder is characterized by manyāstambhaḥ [torticollis/stiffness of neck], ardita [facial paralysis], cakṣurvibhrama [agitation of eyes], mōhaḥ [confusion/delirium], udvēṣṭana [cramps], cēṣṭānāśa [loss of motor activities], kāsaḥ [cough], śvāsaḥ [breathlessness/difficult breathing], hanugrahaḥ [lock jaw/catching sensation over jaw], mūka [mute/ inability to speak], gadgadatva [stuttering/ stammmering], akṣinimīlan [closure of the eye lids], gaṇḍaspandana [twitching of cheek muscles], jr̥mbhaṇam [yawning], lālāsrāvaḥ [excessive salivation], svarahāniḥ [aphasia], vadanajihmatvam [twisting of the face]",,"śirōbhighātaḥ śirōbhighātaḥ the disorder is characterized by manyāstambhaḥ [torticollis stiffness of neck], ardita [facial paralysis], cakṣurvibhrama [agitation of eyes], mōhaḥ [confusion delirium], udvēṣṭana [cramps], cēṣṭānāśa [loss of motor activities], kāsaḥ [cough], śvāsaḥ [breathlessness difficult breathing], hanugrahaḥ [lock jaw catching sensation over jaw], mūka [mute inability to speak], gadgadatva [stuttering stammmering], akṣinimīlan [closure of the eye lids], gaṇḍaspandana [twitching of cheek muscles], jr̥mbhaṇam [yawning], lālāsrāvaḥ [excessive salivation], svarahāniḥ [aphasia], vadanajihmatvam [twisting of the face]",SP44,"['SP44', 'SK20', 'SP95']"
L-5,basti-abhighātaḥ,-,"the disorder is characterized by basti kuṇḍalaḥ [spirallising spasm in the basti/urinary bladder], udāvarta [upward movement of vāyu in the abdomen], gulmaḥ [palpable glandular enlargment in abdomen/ abdominal lump], anilāṣṭhīlā [hard tumour caused by vāyu], upasthambha [spasticity of the bladder], vāta nigrahaḥ [stasis of flatus], mūtra nigrahaḥ [stasis of urine], varcō nigrahaḥ [stasis of faeces], vaṅkṣṇa śūlaḥ [pain in groin], mēhana śūlaḥ [penile pain], basti śūlaḥ [colicky pain in the basti/urinary bladder], nābhigrahaḥ [catching sensation in umbilical region], kukṣigrahaḥ [catching sensation in lower abdominal region], guda grahaḥ [catching sensation in anus], śrōṇi grahaḥ [catching sensation in the pelvis]",,"basti abhighātaḥ basti abhighātaḥ the disorder is characterized by basti kuṇḍalaḥ [spirallising spasm in the basti urinary bladder], udāvarta [upward movement of vāyu in the abdomen], gulmaḥ [palpable glandular enlargment in abdomen abdominal lump], anilāṣṭhīlā [hard tumour caused by vāyu], upasthambha [spasticity of the bladder], vāta nigrahaḥ [stasis of flatus], mūtra nigrahaḥ [stasis of urine], varcō nigrahaḥ [stasis of faeces], vaṅkṣṇa śūlaḥ [pain in groin], mēhana śūlaḥ [penile pain], basti śūlaḥ [colicky pain in the basti urinary bladder], nābhigrahaḥ [catching sensation in umbilical region], kukṣigrahaḥ [catching sensation in lower abdominal region], guda grahaḥ [catching sensation in anus], śrōṇi grahaḥ [catching sensation in the pelvis]",SM3C,"['SM3C', 'SM86', 'SM82']"
L-6,muṣkasrōtō^^abhighāta/upaghāta,-,-,,muṣkasrōtō^^abhighāta upaghāta muṣkasrōtō^^abhighāta upaghāta,ST20,"['ST20', 'SM9A', 'SM8B']"
L-7,śītābhihataḥ,-,-,,śītābhihataḥ śītābhihataḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
M,bālarōgaḥ,-,-,,bālarōgaḥ bālarōgaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
MA (SN1Y),(a) nāḍīkalpana-vyāpat,-,-,,(a) nāḍīkalpana vyāpat (a) nāḍīkalpana vyāpat,ST20,"['ST20', 'SM9A', 'SM8B']"
MA-1,āyāma–uttuṇḍitā,-,-,,āyāma–uttuṇḍitā āyāma–uttuṇḍitā,ST20,"['ST20', 'SM9A', 'SM8B']"
MA-2,vyāyāma-uttuṇḍitā,-,-,,vyāyāma uttuṇḍitā vyāyāma uttuṇḍitā,ST20,"['ST20', 'SM9A', 'SM8B']"
MA-3,piṇḍalikā,-,-,,piṇḍalikā piṇḍalikā,ST20,"['ST20', 'SM9A', 'SM8B']"
MA-4,vināmikā,-,-,,vināmikā vināmikā,ST20,"['ST20', 'SM9A', 'SM8B']"
MA-5,vijr̥mbhikā,-,-,,vijr̥mbhikā vijr̥mbhikā,ST20,"['ST20', 'SM9A', 'SM8B']"
MA-6,tuṇḍī,-,-,,tuṇḍī tuṇḍī,ST20,"['ST20', 'SM9A', 'SM8B']"
MB,bālagrahaḥ,-,-,,bālagrahaḥ bālagrahaḥ,ST20,"['ST20', 'SM9A', 'SM8B']"
MB-1,skandagrahaḥ,-,"the disorder is characterized by bālaḥkṣaṇat udvējanam [sudden onset of agitation in baby], bālaḥ kṣaṇāt trāsanam [sudden onset of fearfulness in the baby], bālaḥ kṣaṇāt rōdati [sudden onset of crying], dhātrīṁ nakhāt dāryati [gouging or scratching the wetnurse or mother], dhātriṁ dantāt dāryati [baby biting the wetnurse or mother], ātmānam nakhāt dāryati [baby scratches or gouges his/her body], ātmānam dantāt dāryati [baby bites his/ herself], ūrddhvam nirīkṣatē [upward movement of vāyu in the abdomen], dantān khādatē [gnashes-grind one's teeth], kujanam [cooing sound], jr̥mbhaṇaṁ [yawning], bhruvau-kṣipati [hasty movements of eyebrows], dantau kṣipati [gnashes-grind one's teeth], ōṣṭaṁ kṣipati [drooping of lips], phēnaṁ vamati [frothy vomiting], ati kṣāmatā [severe weakness], niśi jāgaraṇa [keeping awake at night], śunākṣa [swelling of eyes], bhinna viṭ [altered stools, loose motions], bhinna svara [hoarse voice], māṁsa śōṇita gandhi [emitions of odour of meat and blood], na ca aśnāti [aversion to food/ breat milk], ēkanētra srāva [lacrimation from one eye], gātrasya kampanam [convulsive movements of limbs], gātrasya srāvaḥ/ sasvēdaḥ [sweating], dāntanakhādati [gnashes-grind one's teeth], raktagandhikāḥ [smell of blood from the body], rōdanam (alpaḥ) [diminished crying], vakrāsyatā [facial paralysis], vitrāsaḥ [fearfulness], stanyaṁ naivābhinandati/ stanadviḍ [aversion of breast milk], gātrasya spandanaṁ [twitching of limbs], ūrdhvaṁ dr̥ṣṭyā nirīkṣēta [upward movement of vāyu in the abdomen], alpa rōdanam [diminution in crying], śūnākṣaḥ [swelling in eyes], kṣataja gandhikaḥ [emitions of odour of wound], hataika pakṣma nētraḥ [ptosis of one eye], calita ēka pakṣma nētraḥ [flickering of one eye], udvigna [anxious], sululita cakṣu [shaking of eyes/ contionuous movements of eyes], gāḍha viṭkatā [compact stools/ constipation], śiraḥ vikṣipatē muhuḥ [frequent shaking of head], hataika pakṣa [hemiplegia/ hemiparesis], stabdha aṁgaḥ [stiffness of body], nat kandharaḥ [bending/drooping of neck], visvaram rōditi [cries in hoarse voice], lālāvamanaṁ [vomiting of saliva], vasā gandhiḥ [odour of animal fat], asra gandhiḥ [odour of blood], baddhamuṣṭi [making fists], baddha śakr̥ta [retained stool/contipation], calita ēka akṣi [movement of one eye], calita ēka bhrū [movement of one eyebrow], calita ēka gaṇḍaḥ [movement of one cheek], saṁrakta ubhayalōcanā [reddness of both eyes], vaikalyaṁ [lameness], maraṇaṁ [death]",,"skandagrahaḥ skandagrahaḥ the disorder is characterized by bālaḥkṣaṇat udvējanam [sudden onset of agitation in baby], bālaḥ kṣaṇāt trāsanam [sudden onset of fearfulness in the baby], bālaḥ kṣaṇāt rōdati [sudden onset of crying], dhātrīṁ nakhāt dāryati [gouging or scratching the wetnurse or mother], dhātriṁ dantāt dāryati [baby biting the wetnurse or mother], ātmānam nakhāt dāryati [baby scratches or gouges his her body], ātmānam dantāt dāryati [baby bites his herself], ūrddhvam nirīkṣatē [upward movement of vāyu in the abdomen], dantān khādatē [gnashes grind one's teeth], kujanam [cooing sound], jr̥mbhaṇaṁ [yawning], bhruvau kṣipati [hasty movements of eyebrows], dantau kṣipati [gnashes grind one's teeth], ōṣṭaṁ kṣipati [drooping of lips], phēnaṁ vamati [frothy vomiting], ati kṣāmatā [severe weakness], niśi jāgaraṇa [keeping awake at night], śunākṣa [swelling of eyes], bhinna viṭ [altered stools, loose motions], bhinna svara [hoarse voice], māṁsa śōṇita gandhi [emitions of odour of meat and blood], na ca aśnāti [aversion to food breat milk], ēkanētra srāva [lacrimation from one eye], gātrasya kampanam [convulsive movements of limbs], gātrasya srāvaḥ sasvēdaḥ [sweating], dāntanakhādati [gnashes grind one's teeth], raktagandhikāḥ [smell of blood from the body], rōdanam (alpaḥ) [diminished crying], vakrāsyatā [facial paralysis], vitrāsaḥ [fearfulness], stanyaṁ naivābhinandati stanadviḍ [aversion of breast milk], gātrasya spandanaṁ [twitching of limbs], ūrdhvaṁ dr̥ṣṭyā nirīkṣēta [upward movement of vāyu in the abdomen], alpa rōdanam [diminution in crying], śūnākṣaḥ [swelling in eyes], kṣataja gandhikaḥ [emitions of odour of wound], hataika pakṣma nētraḥ [ptosis of one eye], calita ēka pakṣma nētraḥ [flickering of one eye], udvigna [anxious], sululita cakṣu [shaking of eyes contionuous movements of eyes], gāḍha viṭkatā [compact stools constipation], śiraḥ vikṣipatē muhuḥ [frequent shaking of head], hataika pakṣa [hemiplegia hemiparesis], stabdha aṁgaḥ [stiffness of body], nat kandharaḥ [bending drooping of neck], visvaram rōditi [cries in hoarse voice], lālāvamanaṁ [vomiting of saliva], vasā gandhiḥ [odour of animal fat], asra gandhiḥ [odour of blood], baddhamuṣṭi [making fists], baddha śakr̥ta [retained stool contipation], calita ēka akṣi [movement of one eye], calita ēka bhrū [movement of one eyebrow], calita ēka gaṇḍaḥ [movement of one cheek], saṁrakta ubhayalōcanā [reddness of both eyes], vaikalyaṁ [lameness], maraṇaṁ [death]",SK20,"['SK20', 'SR64', 'SR5A']"
SR03 (MB-2),(a) Skanda Apasmara,-,"It is characterised by episodes of convulsions with frothing from mouth, stiffness of the extremities in infants. This may be explained by: (a) Altered sensorium akin to a possessive state.",,"(a) skanda apasmara (a) skanda apasmara it is characterised by episodes of convulsions with frothing from mouth, stiffness of the extremities in infants. this may be explained by: (a) altered sensorium akin to a possessive state.",SR03,"['SR03', 'SS15', 'SK9A']"
MB-3,śakunīgrahaḥ,-,"the disorder is characterized by vihaṅga gandhi [smell of birds from the body], sasrāvivraṇa paripīḍitaḥ samantāt [generalised discharging lesions], srastāṅagatā [flaccidity/ laxity], sadāhayukta sphōṭaḥ pracita tanuḥ [blister with burning sensation spread on body], sapāka yukta sphōṭaḥ pracita tanuḥ [blisters with suppuration spread on body], kṣatābhibhūtaḥ [afflicted by injuries], atisāraḥ [diarrhoea], jihvāgata vraṇaḥ [ulcers on tongue], tālugata vraṇaḥ [ulcers on palate], galagata vraṇaḥ [ulcers in throat], sphōṭaḥ sandhiṣu punaḥ punaḥ [repeated blisters on joints], niśiyahni pravilīyantē [manifestation/affliction during day and night], vaktra pāka [stomatitis], guda pāka [proctitis], jvaraḥ [fever], śakuni gandha [smell of shakuni/ a type of bird]",,"śakunīgrahaḥ śakunīgrahaḥ the disorder is characterized by vihaṅga gandhi [smell of birds from the body], sasrāvivraṇa paripīḍitaḥ samantāt [generalised discharging lesions], srastāṅagatā [flaccidity laxity], sadāhayukta sphōṭaḥ pracita tanuḥ [blister with burning sensation spread on body], sapāka yukta sphōṭaḥ pracita tanuḥ [blisters with suppuration spread on body], kṣatābhibhūtaḥ [afflicted by injuries], atisāraḥ [diarrhoea], jihvāgata vraṇaḥ [ulcers on tongue], tālugata vraṇaḥ [ulcers on palate], galagata vraṇaḥ [ulcers in throat], sphōṭaḥ sandhiṣu punaḥ punaḥ [repeated blisters on joints], niśiyahni pravilīyantē [manifestation affliction during day and night], vaktra pāka [stomatitis], guda pāka [proctitis], jvaraḥ [fever], śakuni gandha [smell of shakuni a type of bird]",SP54,"['SP54', 'SN04', 'SN4W']"
MB-4,rēvatīgrahaḥ,-,"the disorder is characterized by śyāva nīlatvam [black bluish discolouration], karṇa mardanam [rubbing of ears], akṣimardanam [rubbing of eyes], nāsāmardanam [rubbing of nose], kāsaḥ [cough], hidmā [hiccup], akṣivikṣēpa [distracted eye movement], vakra vaktratva [deviation of mouth], vaktra raktatā [redness of mouth], basta gandhatā [odour as goat], jvaraḥ [fever], śōṣa [dryness/wasting/emaciation], harita purīṣa [greenish feces], drava purīṣa [loose stools], gātraṁ vraṇairācitam [limbs filled with ulcers], gātraṁ sphōṭairācitam [limbs filled with blisters], paṅka gandham [muddy odour], asr̥ka sravaṇ [blood discharge], bhinna varca [altered stools, loose motions], dāhaḥ [burning sensation], atipāṇḍu dēhaḥ [excessive paleness of body], śyāva dēhaḥ (vā) [blackish discolouration of body], mukha pākaḥ [stomatitis], vēdanārtaḥ [suffering with pain], dhruvamābhipīḍitam [gets afflicted easily]",,"rēvatīgrahaḥ rēvatīgrahaḥ the disorder is characterized by śyāva nīlatvam [black bluish discolouration], karṇa mardanam [rubbing of ears], akṣimardanam [rubbing of eyes], nāsāmardanam [rubbing of nose], kāsaḥ [cough], hidmā [hiccup], akṣivikṣēpa [distracted eye movement], vakra vaktratva [deviation of mouth], vaktra raktatā [redness of mouth], basta gandhatā [odour as goat], jvaraḥ [fever], śōṣa [dryness wasting emaciation], harita purīṣa [greenish feces], drava purīṣa [loose stools], gātraṁ vraṇairācitam [limbs filled with ulcers], gātraṁ sphōṭairācitam [limbs filled with blisters], paṅka gandham [muddy odour], asr̥ka sravaṇ [blood discharge], bhinna varca [altered stools, loose motions], dāhaḥ [burning sensation], atipāṇḍu dēhaḥ [excessive paleness of body], śyāva dēhaḥ (vā) [blackish discolouration of body], mukha pākaḥ [stomatitis], vēdanārtaḥ [suffering with pain], dhruvamābhipīḍitam [gets afflicted easily]",SP54,"['SP54', 'SM37', 'SM1G']"
MB-5,pūtanāgrahaḥ,-,"the disorder is characterized by rōdanam [crying], vamiḥ [vomiting], kampaḥ [shivering of body], tandrā [drowsiness/lassitude], rātrau prajāgaraṇaḥ [wakefulness at night], hidmā [hiccup], ādhmānaṁ [abdominal distension], śakr̥ta bhēdaḥ/atisāra [altered bowels/loose stools], pipāsā [thirst], mūtra nigrahaḥ [retention of urine], srastāṅgatā [flaccidity/ laxity], hr̥ṣṭarōmatvam/ hr̥ṣita rūhaḥ [having the hair of the body erect], kākavata pūtigandhitva [crow sent like smell], svapiti sukhaṁ divā [sleeps well in daytime], tr̥ṣṇā [thirst], tiryaka prēkṣaṇam [sideway looking]",,"pūtanāgrahaḥ pūtanāgrahaḥ the disorder is characterized by rōdanam [crying], vamiḥ [vomiting], kampaḥ [shivering of body], tandrā [drowsiness lassitude], rātrau prajāgaraṇaḥ [wakefulness at night], hidmā [hiccup], ādhmānaṁ [abdominal distension], śakr̥ta bhēdaḥ atisāra [altered bowels loose stools], pipāsā [thirst], mūtra nigrahaḥ [retention of urine], srastāṅgatā [flaccidity laxity], hr̥ṣṭarōmatvam hr̥ṣita rūhaḥ [having the hair of the body erect], kākavata pūtigandhitva [crow sent like smell], svapiti sukhaṁ divā [sleeps well in daytime], tr̥ṣṇā [thirst], tiryaka prēkṣaṇam [sideway looking]",SM81,"['SM81', 'SS2D', 'SK64']"
MB-6,andhapūtanāgrahaḥ,-,"the disorder is characterized by atisāraḥ [diarrhoea], kāsaḥ [cough], chardiḥ [vomiting], jvaraḥ [fever], tr̥ṣṇā [thirst], vasāgandhaḥ [odour of animal fat], stanadvēṣaḥ [aversion to breast feeding], durvarṇaḥ [discoloration of the body/ abnormal colour], satataṁ adhaḥ śayō [constant downward gaze], amla gandhiḥ [sour smell], alpa nidratā [less sleep], varcō bhēdaḥ [altered stools, loose motions], vaivarṇya [discolouration], daurgandhyam [bad odour], aṅga śōṣaṇam [emaciation], dr̥ṣṭēḥ sāda [exhaustion/ tired eyes], dr̥ṣṭēḥatiruk [severe pain in eyes], dr̥ṣṭēḥ kaṇḍu [itching in eyes], pōthakī janmaḥ [eruption of red pimples on eyelids], dr̥ṣṭēḥ śūnatā [swelling of eyes], hidmā [hiccup], udvēga [agitation/ anxiety], svara tīkṣṇatā [harsh voice], vēpathuḥ [shivering/tremors], matsya gandhaḥ [fishy smell from body]",,"andhapūtanāgrahaḥ andhapūtanāgrahaḥ the disorder is characterized by atisāraḥ [diarrhoea], kāsaḥ [cough], chardiḥ [vomiting], jvaraḥ [fever], tr̥ṣṇā [thirst], vasāgandhaḥ [odour of animal fat], stanadvēṣaḥ [aversion to breast feeding], durvarṇaḥ [discoloration of the body abnormal colour], satataṁ adhaḥ śayō [constant downward gaze], amla gandhiḥ [sour smell], alpa nidratā [less sleep], varcō bhēdaḥ [altered stools, loose motions], vaivarṇya [discolouration], daurgandhyam [bad odour], aṅga śōṣaṇam [emaciation], dr̥ṣṭēḥ sāda [exhaustion tired eyes], dr̥ṣṭēḥatiruk [severe pain in eyes], dr̥ṣṭēḥ kaṇḍu [itching in eyes], pōthakī janmaḥ [eruption of red pimples on eyelids], dr̥ṣṭēḥ śūnatā [swelling of eyes], hidmā [hiccup], udvēga [agitation anxiety], svara tīkṣṇatā [harsh voice], vēpathuḥ [shivering tremors], matsya gandhaḥ [fishy smell from body]",SM37,"['SM37', 'SM76', 'SN41']"
MB-7,śītapūtanāgrahaḥ,-,"the disorder is characterized by atisāraḥ [diarrhoea], kāsaḥ [cough], kṣīṇaḥ [emaciation], chardiḥ [vomiting], nētrarōgaḥ [eye diseases], vigandhaḥ [bad odour], bhr̥śaṁ ativēpatē [strong/ frequent tembling of body], udvigna [agitated/ anxious], kampaḥ [tremors], rōdanaṁ [crying], tiryagīkṣaṇam [sideway looking], tr̥ṣṇā [thirst], āntrakūjana [barborygmus/ gurgling sound of intestines], vasāvat visragandhaḥ [smell of raw meat/ animal fat], ēkasyapārśvē śītatvam [coldness on one side of body], uṣṇatvaṁ aparapārśvai [hotnes on another side of body], prarudhyāt [obstructed], saṁlīnaḥ svapiti [baby clings on to the mother and sleeps]",,"śītapūtanāgrahaḥ śītapūtanāgrahaḥ the disorder is characterized by atisāraḥ [diarrhoea], kāsaḥ [cough], kṣīṇaḥ [emaciation], chardiḥ [vomiting], nētrarōgaḥ [eye diseases], vigandhaḥ [bad odour], bhr̥śaṁ ativēpatē [strong frequent tembling of body], udvigna [agitated anxious], kampaḥ [tremors], rōdanaṁ [crying], tiryagīkṣaṇam [sideway looking], tr̥ṣṇā [thirst], āntrakūjana [barborygmus gurgling sound of intestines], vasāvat visragandhaḥ [smell of raw meat animal fat], ēkasyapārśvē śītatvam [coldness on one side of body], uṣṇatvaṁ aparapārśvai [hotnes on another side of body], prarudhyāt [obstructed], saṁlīnaḥ svapiti [baby clings on to the mother and sleeps]",SK20,"['SK20', 'SR8A', 'ST0X']"
MB-8,mukhamaṇḍikāgrahaḥ,-,"the disorder is characterized by sirābhirsaṁvr̥tā gātra [marked venous promimence on body], prasanna varṇa vadanaḥ [bright complexion of face], bahvāśī [polyphagia], mūtra tulya gandhi/ gōmūtra samagandhitā [urine / cow urine odour], mlānāṅgaḥ [exhausted body], suruci pāṇi [smooth/ tender palms], suruci pāda [smooth/ tender soles], suruci vaktra [smooth / shiny face], kaluṣa sirāvr̥ta udaraḥ [turbid prominent veins on abdomen], udvēga [agitation/ anxiety], asitābhasirācita udaraḥ [dark coloured veins on abdomen], jvaraḥ [fever], arōcakaḥ [tastelessness], aṅga glapanaṁ [tired body]",,"mukhamaṇḍikāgrahaḥ mukhamaṇḍikāgrahaḥ the disorder is characterized by sirābhirsaṁvr̥tā gātra [marked venous promimence on body], prasanna varṇa vadanaḥ [bright complexion of face], bahvāśī [polyphagia], mūtra tulya gandhi gōmūtra samagandhitā [urine cow urine odour], mlānāṅgaḥ [exhausted body], suruci pāṇi [smooth tender palms], suruci pāda [smooth tender soles], suruci vaktra [smooth shiny face], kaluṣa sirāvr̥ta udaraḥ [turbid prominent veins on abdomen], udvēga [agitation anxiety], asitābhasirācita udaraḥ [dark coloured veins on abdomen], jvaraḥ [fever], arōcakaḥ [tastelessness], aṅga glapanaṁ [tired body]",SP54,"['SP54', 'SL70', 'SR82']"
MB-9,naigamēṣagrahaḥ,-,"the disorder is characterized by dantādaśanaḥ [grinding of teeth/ teeth biting], mūrcchā [syncope/attacks of swooning], vigandhaḥ [bad odour], phēnavamanam [frothy vomitus], vinamyatē c madhyaḥ [bend in the middle], udvēgaḥ [agitation/ anxiety], vilāpa [crying], ūrdhvamīkṣṇaṁ [upward gaze], pratataṁ jvaraḥ [constant fever], vasā sagandham [odour of animal fat], nisaṁjñaḥ [unconciousness], ādhmānaṁ [abdominal distension], pāṇi spandanam [beating movements of hands], pād spandanam [beating movements of legs], tr̥ṭ [thirst], muṣṭi bandhaḥ [clenching of the fist], atisāraḥ [diarrhoea], dainya svaraḥ [weak and feeble voice], vivarṇatā [discolouration], kūjanam [cooing sound], chardiḥ [vomiting], kāsaḥ [cough], hidhmā [hiccup], prajāgaram [sleeplessness/insomnia], kaṇṭha śōṣa [dryness in throat], āsyaśōṣa [dryness in mouth], stananaṁ [sound of hollow cough], ōṣṭha dṁśaṁ [biting of lips], aṅgasaṁkōcaḥ [contracutre of body parts], stambha [rigidity/stiffness], bastābha gandhatā [odour as goat], ūrdhvaṁ nirīkṣya hasanaṁ [upaward gaze and laughing], ēka nētra śōphaḥ [swelling in one eye]",,"naigamēṣagrahaḥ naigamēṣagrahaḥ the disorder is characterized by dantādaśanaḥ [grinding of teeth teeth biting], mūrcchā [syncope attacks of swooning], vigandhaḥ [bad odour], phēnavamanam [frothy vomitus], vinamyatē c madhyaḥ [bend in the middle], udvēgaḥ [agitation anxiety], vilāpa [crying], ūrdhvamīkṣṇaṁ [upward gaze], pratataṁ jvaraḥ [constant fever], vasā sagandham [odour of animal fat], nisaṁjñaḥ [unconciousness], ādhmānaṁ [abdominal distension], pāṇi spandanam [beating movements of hands], pād spandanam [beating movements of legs], tr̥ṭ [thirst], muṣṭi bandhaḥ [clenching of the fist], atisāraḥ [diarrhoea], dainya svaraḥ [weak and feeble voice], vivarṇatā [discolouration], kūjanam [cooing sound], chardiḥ [vomiting], kāsaḥ [cough], hidhmā [hiccup], prajāgaram [sleeplessness insomnia], kaṇṭha śōṣa [dryness in throat], āsyaśōṣa [dryness in mouth], stananaṁ [sound of hollow cough], ōṣṭha dṁśaṁ [biting of lips], aṅgasaṁkōcaḥ [contracutre of body parts], stambha [rigidity stiffness], bastābha gandhatā [odour as goat], ūrdhvaṁ nirīkṣya hasanaṁ [upaward gaze and laughing], ēka nētra śōphaḥ [swelling in one eye]",SM1G,"['SM1G', 'SS24', 'ST11']"
MB-10,śvagrahaḥ,-,"the disorder is characterized by kampaḥ [tremors], hr̥ṣita rōmatvam [horripilation], svēda [sweating], cakṣurnimīlanam [closure of the eyes], bahirayāmaṁ [body bent outwards], jihvā daṁśaṁ [biting of the tongue], antaḥ kaṇṭhakūjanam [low sound from the throat], dhāvanam [running], viṭasagandhatva [body emiting smell of faeces], krōśanaṁ c śvavat [crying, making sound like a dog]",,"śvagrahaḥ śvagrahaḥ the disorder is characterized by kampaḥ [tremors], hr̥ṣita rōmatvam [horripilation], svēda [sweating], cakṣurnimīlanam [closure of the eyes], bahirayāmaṁ [body bent outwards], jihvā daṁśaṁ [biting of the tongue], antaḥ kaṇṭhakūjanam [low sound from the throat], dhāvanam [running], viṭasagandhatva [body emiting smell of faeces], krōśanaṁ c śvavat [crying, making sound like a dog]",SR5A,"['SR5A', 'SR81', 'SR40']"
