Sr No.,NAMC_ID,NAMC_CODE,NAMC_TERM,Tamil_term,Short_definition,Long_definition,Reference,query,normalized_term
1000,1000,RF,Kaṭṭi,கட்டி,Abcess,,,kaṭṭi kaṭṭi kaṭṭi kaṭṭi கட்டி கட்டி கட்டி கட்டி abcess abcess abcess,kaṭṭi
1001,1001,RFA,Vaḷi,வளி,Abcess classified under Vali,,,vaḷi vaḷi vaḷi vaḷi வளி வளி வளி வளி abcess classified under vali abcess classified under vali abcess classified under vali,vaḷi
1002,1002,RFA1.1,Maṭakkuk Kaṭṭi,மடக்குக் கட்டி,Conical shaped Diabetic Carbuncle due to Increasing Vali,"It is characterized by conical shaped diabetic carbuncle in the joints and muscular regions of the body. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.81","maṭakkuk kaṭṭi maṭakkuk kaṭṭi maṭakkuk kaṭṭi maṭakkuk kaṭṭi மடக்குக் கட்டி மடக்குக் கட்டி மடக்குக் கட்டி மடக்குக் கட்டி conical shaped diabetic carbuncle due to increasing vali conical shaped diabetic carbuncle due to increasing vali conical shaped diabetic carbuncle due to increasing vali it is characterized by conical shaped diabetic carbuncle in the joints and muscular regions of the body. it is explained by increased vali. among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamaraysn(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.81",maṭakkuk kaṭṭi
1003,1003,RFA1.2,Valaikkaṇ Kaṭṭi,வலைக்கண் கட்டி,Boils spreading like trees root due to increasing Vali,"It is characterized by black coloured diabetic blisters present in sunken area of the body, difficulty to bend the hip. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.81","valaikkaṇ kaṭṭi valaikkaṇ kaṭṭi valaikkaṇ kaṭṭi valaikkaṇ kaṭṭi வலைக்கண் கட்டி வலைக்கண் கட்டி வலைக்கண் கட்டி வலைக்கண் கட்டி boils spreading like trees root due to increasing vali boils spreading like trees root due to increasing vali boils spreading like trees root due to increasing vali it is characterized by black coloured diabetic blisters present in sunken area of the body, difficulty to bend the hip. it is explained by increased vali. among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamaraysn(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.81",valaikkaṇ kaṭṭi
1004,1004,RFA1.3,Atōmukak Kaṭṭi,அதோமுகக் கட்டி,Blisters present in sunken area of the body due to spreading the vali,"It is characterized by conical shaped diabetic carbuncle present in the joints and muscular regions. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.81","atōmukak kaṭṭi atōmukak kaṭṭi atōmukak kaṭṭi atōmukak kaṭṭi அதோமுகக் கட்டி அதோமுகக் கட்டி அதோமுகக் கட்டி அதோமுகக் கட்டி blisters present in sunken area of the body due to spreading the vali blisters present in sunken area of the body due to spreading the vali blisters present in sunken area of the body due to spreading the vali it is characterized by conical shaped diabetic carbuncle present in the joints and muscular regions. it is explained by increased vali. among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamaraysn(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.81",atōmukak kaṭṭi
1005,1005,RFA1.4,Kaṭalaik Kaṭṭi,கடலைக் கட்டி,Blisters like ground nut shaped due to increasing Vali,"It is characterized by ground nut shaped diabetic blisters spreading all over the body. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.82","kaṭalaik kaṭṭi kaṭalaik kaṭṭi kaṭalaik kaṭṭi kaṭalaik kaṭṭi கடலைக் கட்டி கடலைக் கட்டி கடலைக் கட்டி கடலைக் கட்டி blisters like ground nut shaped due to increasing vali blisters like ground nut shaped due to increasing vali blisters like ground nut shaped due to increasing vali it is characterized by ground nut shaped diabetic blisters spreading all over the body. it is explained by increased vali. among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamaraysn(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.82",kaṭalaik kaṭṭi
1006,1006,RFA1.5,Kaṭukuk Kaṭṭi,கடுகுக் கட்டி,Blisters like lentils due to increasing Vali,"It is characterized by diabetic blisters like lentils with pain. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.82","kaṭukuk kaṭṭi kaṭukuk kaṭṭi kaṭukuk kaṭṭi kaṭukuk kaṭṭi கடுகுக் கட்டி கடுகுக் கட்டி கடுகுக் கட்டி கடுகுக் கட்டி blisters like lentils due to increasing vali blisters like lentils due to increasing vali blisters like lentils due to increasing vali it is characterized by diabetic blisters like lentils with pain. it is explained by increased vali. among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamaraysn(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.82",kaṭukuk kaṭṭi
1007,1007,RFB,Aẕal,அழல்,Abcess classified under Azhal,,,aẕal aẕal aẕal aẕal அழல் அழல் அழல் அழல் abcess classified under azhal abcess classified under azhal abcess classified under azhal,aẕal
1008,1008,RFB1.1,Pēyccuraik Kaṭṭi,பேய்ச்சுரைக் கட்டி,Blisters like bottle gourd shaped due to increasing Vali,"It is characterized by diabetic blisters like bottle gourd shape with burning sensation, fever, thurst, boils. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.81","pēyccuraik kaṭṭi pēyccuraik kaṭṭi pēyccuraik kaṭṭi pēyccuraik kaṭṭi பேய்ச்சுரைக் கட்டி பேய்ச்சுரைக் கட்டி பேய்ச்சுரைக் கட்டி பேய்ச்சுரைக் கட்டி blisters like bottle gourd shaped due to increasing vali blisters like bottle gourd shaped due to increasing vali blisters like bottle gourd shaped due to increasing vali it is characterized by diabetic blisters like bottle gourd shape with burning sensation, fever, thurst, boils. it is explained by increased aẕal. among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamaraysn(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.81",pēyccuraik kaṭṭi
1009,1009,RFB1.2,Vittiratik Kaṭṭi,வித்திராதிக் கட்டி,Multiple Blisters due to increasing Azhal,"It is characterized by multiple blisters with burning sensation and pain. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.82","vittiratik kaṭṭi vittiratik kaṭṭi vittiratik kaṭṭi vittiratik kaṭṭi வித்திராதிக் கட்டி வித்திராதிக் கட்டி வித்திராதிக் கட்டி வித்திராதிக் கட்டி multiple blisters due to increasing azhal multiple blisters due to increasing azhal multiple blisters due to increasing azhal it is characterized by multiple blisters with burning sensation and pain. it is explained by increased aẕal. among the seven uṭaṟtātukkaḷ cāram, cennīr, ūṉ and koẕuppu gets affected. k.s.uthamaraysn(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.82",vittiratik kaṭṭi
1010,1010,RFB1.3,Mēka Vittiratik Kaṭṭi,மேக வித்திராதிக் கட்டி,Multiple diabetic carbuncle due to increasing Azhal,"It is characterized by multiple diabetic carbuncles. It is explained by increased Aẕal. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.82","mēka vittiratik kaṭṭi mēka vittiratik kaṭṭi mēka vittiratik kaṭṭi mēka vittiratik kaṭṭi மேக வித்திராதிக் கட்டி மேக வித்திராதிக் கட்டி மேக வித்திராதிக் கட்டி மேக வித்திராதிக் கட்டி multiple diabetic carbuncle due to increasing azhal multiple diabetic carbuncle due to increasing azhal multiple diabetic carbuncle due to increasing azhal it is characterized by multiple diabetic carbuncles. it is explained by increased aẕal. among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamaraysn(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.82",mēka vittiratik kaṭṭi
1011,1011,RFC,Aiyam,ஐயம்,,,,aiyam aiyam aiyam aiyam ஐயம் ஐயம் ஐயம் ஐயம்,aiyam
1012,1012,RFC1.1,Āmai Ōṭu Kaṭṭi,ஆமை ஓடு கட்டி,Tortoise shell like Diabetic carbuncle due to increasing Aiyam,"It is characterized by tortoise shell like diabetic carbuncle with pain and swelling. It is explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.81","āmai ōṭu kaṭṭi āmai ōṭu kaṭṭi āmai ōṭu kaṭṭi āmai ōṭu kaṭṭi ஆமை ஓடு கட்டி ஆமை ஓடு கட்டி ஆமை ஓடு கட்டி ஆமை ஓடு கட்டி tortoise shell like diabetic carbuncle due to increasing aiyam tortoise shell like diabetic carbuncle due to increasing aiyam tortoise shell like diabetic carbuncle due to increasing aiyam it is characterized by tortoise shell like diabetic carbuncle with pain and swelling. it is explained by increased aiyam. among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamaraysn(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.81",āmai ōṭu kaṭṭi
1013,1013,RFC1.2,Nilappūcaṇi Kaṭṭi,நிலப்பூசணி கட்டி,carbuncle like tuber due to increasing Aiyam,"It is characterized by diabetic carbuncle like tuber with pain It is explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu gets affected.","K.S.Uthamaraysn(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.82","nilappūcaṇi kaṭṭi nilappūcaṇi kaṭṭi nilappūcaṇi kaṭṭi nilappūcaṇi kaṭṭi நிலப்பூசணி கட்டி நிலப்பூசணி கட்டி நிலப்பூசணி கட்டி நிலப்பூசணி கட்டி carbuncle like tuber due to increasing aiyam carbuncle like tuber due to increasing aiyam carbuncle like tuber due to increasing aiyam it is characterized by diabetic carbuncle like tuber with pain it is explained by increased aiyam. among the seven uṭaṟtātukkaḷ cāram, cennīr, ūṉ, koẕuppu gets affected. k.s.uthamaraysn(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.82",nilappūcaṇi kaṭṭi
1014,1014,RG,Kiranti,கிரந்தி,Syphilis,,,kiranti kiranti kiranti kiranti கிரந்தி கிரந்தி கிரந்தி கிரந்தி syphilis syphilis syphilis,kiranti
1015,1015,RGA,Vaḷi,வளி,Syphilis classified under Vali,,,vaḷi vaḷi vaḷi vaḷi வளி வளி வளி வளி syphilis classified under vali syphilis classified under vali syphilis classified under vali,vaḷi
1016,1016,RGA1.1,Vaḷi Kiranti,வளி கிரந்தி,Syphilitic ulcer due to increasing Vali,"It is characterized by a chancre with bleeding and pricking pain. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.108","vaḷi kiranti vaḷi kiranti vaḷi kiranti vaḷi kiranti வளி கிரந்தி வளி கிரந்தி வளி கிரந்தி வளி கிரந்தி syphilitic ulcer due to increasing vali syphilitic ulcer due to increasing vali syphilitic ulcer due to increasing vali it is characterized by a chancre with bleeding and pricking pain. it is explained by increased vali. among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.108",vaḷi kiranti
1017,1017,RGA1.2,Caṭai Kiranti,சதை கிரந்தி,Syphilitic ulcer due to altered Oon thathu by increasing Kabam,"It is characterized by chancre with fleshy wound. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.109","caṭai kiranti caṭai kiranti caṭai kiranti caṭai kiranti சதை கிரந்தி சதை கிரந்தி சதை கிரந்தி சதை கிரந்தி syphilitic ulcer due to altered oon thathu by increasing kabam syphilitic ulcer due to altered oon thathu by increasing kabam syphilitic ulcer due to altered oon thathu by increasing kabam it is characterized by chancre with fleshy wound. it is explained by increased vali. among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.109",caṭai kiranti
1018,1018,RGA1.3,Eṉpu Kiranti,என்பு கிரந்தி,Syphilitic ulcer due to altered Enbu thathu by increasing vali,"It is characterized by chancre with raised margin caused by trauma, bone fracture. It is explained by increased vali . Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ, Koẕuppu and Eṉpu gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.109","eṉpu kiranti eṉpu kiranti eṉpu kiranti eṉpu kiranti என்பு கிரந்தி என்பு கிரந்தி என்பு கிரந்தி என்பு கிரந்தி syphilitic ulcer due to altered enbu thathu by increasing vali syphilitic ulcer due to altered enbu thathu by increasing vali syphilitic ulcer due to altered enbu thathu by increasing vali it is characterized by chancre with raised margin caused by trauma, bone fracture. it is explained by increased vali . among the seven uṭaṟtātukkaḷ cāram, cennīr, ūṉ, koẕuppu and eṉpu gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.109",eṉpu kiranti
1019,1019,RGA1.4,Narampu Kiranti,நரம்பு கிரந்தி,Multiple spreading syphilitic ulcer due to increasing Vali,"It is characterized by chancre with inflammation of the nerve, accumulation of the blood caused by cold water bath, rich salt food intake. It is explained by increased vali . Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.109","narampu kiranti narampu kiranti narampu kiranti narampu kiranti நரம்பு கிரந்தி நரம்பு கிரந்தி நரம்பு கிரந்தி நரம்பு கிரந்தி multiple spreading syphilitic ulcer due to increasing vali multiple spreading syphilitic ulcer due to increasing vali multiple spreading syphilitic ulcer due to increasing vali it is characterized by chancre with inflammation of the nerve, accumulation of the blood caused by cold water bath, rich salt food intake. it is explained by increased vali . among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.109",narampu kiranti
1020,1020,RGB,Aẕal,அழல்,Syphilis classified under Azhal,,,aẕal aẕal aẕal aẕal அழல் அழல் அழல் அழல் syphilis classified under azhal syphilis classified under azhal syphilis classified under azhal,aẕal
1021,1021,RGB1.1,Aẕal Kiranti,அழல் கிரந்தி,Syphilitic ulcer due to increasing azhal,"It is characterized by chancre with reddish or yellowish discolouration and burning sensation. It is explained by increased Aẕal . Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.108","aẕal kiranti aẕal kiranti aẕal kiranti aẕal kiranti அழல் கிரந்தி அழல் கிரந்தி அழல் கிரந்தி அழல் கிரந்தி syphilitic ulcer due to increasing azhal syphilitic ulcer due to increasing azhal syphilitic ulcer due to increasing azhal it is characterized by chancre with reddish or yellowish discolouration and burning sensation. it is explained by increased aẕal . among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.108",aẕal kiranti
1022,1022,RGC,Aiyam,ஐயம்,Syphilis classified under aiyam,,,aiyam aiyam aiyam aiyam ஐயம் ஐயம் ஐயம் ஐயம் syphilis classified under aiyam syphilis classified under aiyam syphilis classified under aiyam,aiyam
1023,1023,RGC1.1,laiya Kiranti,ஐய கிரந்தி,Syphilitic ulcer due to increasing aiyam,"It is characterized by chancre associated with paller, thickened skin with itching. It is explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.109","laiya kiranti laiya kiranti laiya kiranti laiya kiranti ஐய கிரந்தி ஐய கிரந்தி ஐய கிரந்தி ஐய கிரந்தி syphilitic ulcer due to increasing aiyam syphilitic ulcer due to increasing aiyam syphilitic ulcer due to increasing aiyam it is characterized by chancre associated with paller, thickened skin with itching. it is explained by increased aiyam. among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.109",laiya kiranti
1024,1024,RGC1.2,Koẕuppu Kiranti,கொழுப்பு கிரந்தி,Syphilitic ulcer due to altered Kozhuppu thathu by increasing Kabam,"It is characterized by chancre with oozing pus due to rich fat intake. It is explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr, Ūṉ and Koẕuppu gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.109","koẕuppu kiranti koẕuppu kiranti koẕuppu kiranti koẕuppu kiranti கொழுப்பு கிரந்தி கொழுப்பு கிரந்தி கொழுப்பு கிரந்தி கொழுப்பு கிரந்தி syphilitic ulcer due to altered kozhuppu thathu by increasing kabam syphilitic ulcer due to altered kozhuppu thathu by increasing kabam syphilitic ulcer due to altered kozhuppu thathu by increasing kabam it is characterized by chancre with oozing pus due to rich fat intake. it is explained by increased aiyam. among the seven uṭaṟtātukkaḷ cāram, cennīr, ūṉ and koẕuppu gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.109",koẕuppu kiranti
1025,1025,RGC1.3,Puṇ Kiranti,புண் கிரந்தி,Syphilitic wound due to affected by increasing Vali,"It is characterized by syphilitic wound. It is explained by increased aiyam . Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr andf Ūṉ gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.109","puṇ kiranti puṇ kiranti puṇ kiranti puṇ kiranti புண் கிரந்தி புண் கிரந்தி புண் கிரந்தி புண் கிரந்தி syphilitic wound due to affected by increasing vali syphilitic wound due to affected by increasing vali syphilitic wound due to affected by increasing vali it is characterized by syphilitic wound. it is explained by increased aiyam . among the seven uṭaṟtātukkaḷ cāram, cennīr andf ūṉ gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.109",puṇ kiranti
1026,1026,RGD,Mukkuṟṟam,முக்குற்றம்,Syphilis classified under Mukkutram,,,mukkuṟṟam mukkuṟṟam mukkuṟṟam mukkuṟṟam முக்குற்றம் முக்குற்றம் முக்குற்றம் முக்குற்றம் syphilis classified under mukkutram syphilis classified under mukkutram syphilis classified under mukkutram,mukkuṟṟam
1027,1027,RGD1.1,Kurutik Kiranti,குருதிக் கிரந்தி,Syphilitic ulcer due to altered Senneer thathu by increasing Azhal,"It is characterized by a chancre with bleeding and burning sensation. It is explained by all the mukkutram get affected . Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.109","kurutik kiranti kurutik kiranti kurutik kiranti kurutik kiranti குருதிக் கிரந்தி குருதிக் கிரந்தி குருதிக் கிரந்தி குருதிக் கிரந்தி syphilitic ulcer due to altered senneer thathu by increasing azhal syphilitic ulcer due to altered senneer thathu by increasing azhal syphilitic ulcer due to altered senneer thathu by increasing azhal it is characterized by a chancre with bleeding and burning sensation. it is explained by all the mukkutram get affected . among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.109",kurutik kiranti
1028,1028,RH,Maṇṭai Kaṉappu,மண்டை கணப்பு,Heaviness of Head,,,maṇṭai kaṉappu maṇṭai kaṉappu maṇṭai kaṉappu maṇṭai kaṉappu மண்டை கணப்பு மண்டை கணப்பு மண்டை கணப்பு மண்டை கணப்பு heaviness of head heaviness of head heaviness of head,maṇṭai kaṉappu
1029,1029,RHA,Vaḷi,வளி,Heaviness of Head classified under Vali,,,vaḷi vaḷi vaḷi vaḷi வளி வளி வளி வளி heaviness of head classified under vali heaviness of head classified under vali heaviness of head classified under vali,vaḷi
1030,1030,RHA1.1,Vaḷi Maṇṭaik Kaṇappu,வளி மண்டைக் கணப்பு,Heaviness of the head due increasing Vali,"It is characterized by heaviness in head associated with blurred vision, pain in the occipital region, puffiness of the face. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.142","vaḷi maṇṭaik kaṇappu vaḷi maṇṭaik kaṇappu vaḷi maṇṭaik kaṇappu vaḷi maṇṭaik kaṇappu வளி மண்டைக் கணப்பு வளி மண்டைக் கணப்பு வளி மண்டைக் கணப்பு வளி மண்டைக் கணப்பு heaviness of the head due increasing vali heaviness of the head due increasing vali heaviness of the head due increasing vali it is characterized by heaviness in head associated with blurred vision, pain in the occipital region, puffiness of the face. it is explained by increased vali. among the seven uṭaṟtātukkaḷ cāram, cennīr gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.142",vaḷi maṇṭaik kaṇappu
1031,1031,RHA1.2,Kuruti Maṇṭaik Kaṇappu,குருதி மண்டைக் கணப்பு,Heaviness of the head associated with blood infection,"It is characterized by heaviness in head associated with fever, pain in the occipital and frontal region, puffiness of the face, swelling of the eyeball. It is explained by increased vali . Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.142","kuruti maṇṭaik kaṇappu kuruti maṇṭaik kaṇappu kuruti maṇṭaik kaṇappu kuruti maṇṭaik kaṇappu குருதி மண்டைக் கணப்பு குருதி மண்டைக் கணப்பு குருதி மண்டைக் கணப்பு குருதி மண்டைக் கணப்பு heaviness of the head associated with blood infection heaviness of the head associated with blood infection heaviness of the head associated with blood infection it is characterized by heaviness in head associated with fever, pain in the occipital and frontal region, puffiness of the face, swelling of the eyeball. it is explained by increased vali . among the seven uṭaṟtātukkaḷ cāram and cennīr gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.142",kuruti maṇṭaik kaṇappu
1032,1032,RHC,Aiyam,ஐயம்,Heaviness of Head classified under Aiyam,,,aiyam aiyam aiyam aiyam ஐயம் ஐயம் ஐயம் ஐயம் heaviness of head classified under aiyam heaviness of head classified under aiyam heaviness of head classified under aiyam,aiyam
1033,1033,RHC1.1,Nīr Maṇṭai Kaṉappu,நீர் மண்டை கணப்பு,Heaviness of the head due increasing Aiyam,"It is characterized by heaviness in head associated with hair loss, head ache. It is explained by increased aiyam. Among the seven Uṭaṟtātukkaḷ Cāram and Cennīr gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.142","nīr maṇṭai kaṉappu nīr maṇṭai kaṉappu nīr maṇṭai kaṉappu nīr maṇṭai kaṉappu நீர் மண்டை கணப்பு நீர் மண்டை கணப்பு நீர் மண்டை கணப்பு நீர் மண்டை கணப்பு heaviness of the head due increasing aiyam heaviness of the head due increasing aiyam heaviness of the head due increasing aiyam it is characterized by heaviness in head associated with hair loss, head ache. it is explained by increased aiyam. among the seven uṭaṟtātukkaḷ cāram and cennīr gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.142",nīr maṇṭai kaṉappu
1034,1034,RI,Maṇṭaikkuttiyal,மண்டைக்குத்தியல்,Head ache,,,maṇṭaikkuttiyal maṇṭaikkuttiyal maṇṭaikkuttiyal maṇṭaikkuttiyal மண்டைக்குத்தியல் மண்டைக்குத்தியல் மண்டைக்குத்தியல் மண்டைக்குத்தியல் head ache head ache head ache,maṇṭaikkuttiyal
1035,1035,RIA,Vaḷi,வளி,Head ache classified under Vali,,,vaḷi vaḷi vaḷi vaḷi வளி வளி வளி வளி head ache classified under vali head ache classified under vali head ache classified under vali,vaḷi
1036,1036,RIA1.1,Maṇṭaikkuttiyal,மண்டைக்குத்தியல்,Pricking pain around the head due to increasing Vali,"It is characterized by pricking pain around the head with severe pain in the occipital region. It is explained by increased vali. Among the seven Uṭaṟtātukkaḷ Cāram, Cennīr and Ūṉ gets affected.","K.S.Uthamarayan(1984),Siddhar Aruvai Maruthuvam(2nd ed),Chennai, Tamil Nadu Siddha Medical Council,Page No.144","maṇṭaikkuttiyal maṇṭaikkuttiyal maṇṭaikkuttiyal maṇṭaikkuttiyal மண்டைக்குத்தியல் மண்டைக்குத்தியல் மண்டைக்குத்தியல் மண்டைக்குத்தியல் pricking pain around the head due to increasing vali pricking pain around the head due to increasing vali pricking pain around the head due to increasing vali it is characterized by pricking pain around the head with severe pain in the occipital region. it is explained by increased vali. among the seven uṭaṟtātukkaḷ cāram, cennīr and ūṉ gets affected. k.s.uthamarayan(1984),siddhar aruvai maruthuvam(2nd ed),chennai, tamil nadu siddha medical council,page no.144",maṇṭaikkuttiyal
1037,1037,RJ,Maṇṭaic Caṉṉi,மண்டை சன்னி,Delirium caused by diseases of head,,,maṇṭaic caṉṉi maṇṭaic caṉṉi maṇṭaic caṉṉi maṇṭaic caṉṉi மண்டை சன்னி மண்டை சன்னி மண்டை சன்னி மண்டை சன்னி delirium caused by diseases of head delirium caused by diseases of head delirium caused by diseases of head,maṇṭaic caṉṉi
